Setting,MSE,MAE
lt_ETTm2_336_720iTransformer_iTransformer_ETTm2_ftM_sl720_ll168_pl720_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um0_0,0.35975804924964905,0.38759323954582214
lt_electricity_336_96iTransformer_iTransformer_custom_ftM_sl720_ll168_pl96_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.13336487114429474,0.23403559625148773
lt_electricity_336_192iTransformer_iTransformer_custom_ftM_sl720_ll168_pl192_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.1498468965291977,0.24864715337753296
lt_electricity_336_336iTransformer_iTransformer_custom_ftM_sl720_ll168_pl336_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.16014476120471954,0.2625024616718292
lt_electricity_336_720iTransformer_iTransformer_custom_ftM_sl720_ll168_pl720_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.1875450164079666,0.28927576541900635
lt_traffic_336_96iTransformer_iTransformer_custom_ftM_sl720_ll168_pl96_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.6379640102386475,0.443665474653244
lt_traffic_336_192iTransformer_iTransformer_custom_ftM_sl720_ll168_pl192_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.6011706590652466,0.3993970453739166
lt_traffic_336_336iTransformer_iTransformer_custom_ftM_sl720_ll168_pl336_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.7926542162895203,0.526371955871582
lt_traffic_336_720iTransformer_iTransformer_custom_ftM_sl720_ll168_pl720_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.8237131834030151,0.5420473217964172
lt_weather_336_96iTransformer_iTransformer_custom_ftM_sl720_ll168_pl96_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.16405802965164185,0.22209928929805756
lt_weather_336_192iTransformer_iTransformer_custom_ftM_sl720_ll168_pl192_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.20443755388259888,0.2599380910396576
lt_weather_336_336iTransformer_iTransformer_custom_ftM_sl720_ll168_pl336_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.2557334303855896,0.298389196395874
lt_weather_336_720iTransformer_iTransformer_custom_ftM_sl720_ll168_pl720_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.316230446100235,0.3397524654865265
lt_ETTh1_336_96iTransformer_iTransformer_ETTh1_ftM_sl720_ll168_pl96_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.3749215006828308,0.41148102283477783
lt_ETTh1_336_192iTransformer_iTransformer_ETTh1_ftM_sl720_ll168_pl192_dm128_nh8_el2_dl1_df128_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_0,0.4114219546318054,0.4340909719467163
