Setting,MSE,MAE
lt_ETTm1_336_336DLinear_DLinear_ETTm1_ftM_sl336_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.3_0,0.36840543150901794,0.3843670189380646
lt_ETTm1_336_720DLinear_DLinear_ETTm1_ftM_sl336_ll168_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.3_0,0.4247273802757263,0.41485103964805603
lt_ETTm2_336_96DLinear_DLinear_ETTm2_ftM_sl336_ll168_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.3_0,0.16694973409175873,0.2558487057685852
lt_ETTm2_336_192DLinear_DLinear_ETTm2_ftM_sl336_ll168_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.3_0,0.22326314449310303,0.29426050186157227
lt_ETTm2_336_336DLinear_DLinear_ETTm2_ftM_sl336_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.3_0,0.273591548204422,0.327502965927124
lt_ETTm2_336_720DLinear_DLinear_ETTm2_ftM_sl336_ll168_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.3_0,0.35995328426361084,0.38299572467803955
lt_electricity_336_96DLinear_DLinear_custom_ftM_sl336_ll168_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.25_0,0.14188499748706818,0.24005410075187683
lt_electricity_336_192DLinear_DLinear_custom_ftM_sl336_ll168_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.25_0,0.1572001725435257,0.25349482893943787
lt_electricity_336_336DLinear_DLinear_custom_ftM_sl336_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.25_0,0.17395339906215668,0.269952654838562
lt_electricity_336_720DLinear_DLinear_custom_ftM_sl336_ll168_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.25_0,0.21211522817611694,0.3012825548648834
